,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2021-06-21,174.9905039312866,163.85332080093144,187.12199911130455,174.9905039312866,174.9905039312866,0.3860051003227588,0.3860051003227588,0.3860051003227588,0.3860051003227588,0.3860051003227588,0.3860051003227588,0.0,0.0,0.0,175.37650903160937
1,2021-06-22,174.94177595548433,165.19975535148535,187.6548829597138,174.94177595548433,174.94177595548433,0.912195313727094,0.912195313727094,0.912195313727094,0.912195313727094,0.912195313727094,0.912195313727094,0.0,0.0,0.0,175.85397126921143
2,2021-06-23,174.89304797968202,164.3790959798322,187.22008677591245,174.89304797968202,174.89304797968202,0.9028127818872276,0.9028127818872276,0.9028127818872276,0.9028127818872276,0.9028127818872276,0.9028127818872276,0.0,0.0,0.0,175.79586076156926
3,2021-06-24,174.84432000387974,164.75340078587922,187.01940722188144,174.84432000387974,174.84432000387974,0.5488971763030123,0.5488971763030123,0.5488971763030123,0.5488971763030123,0.5488971763030123,0.5488971763030123,0.0,0.0,0.0,175.39321718018275
4,2021-06-25,174.79559202807746,163.37717757895135,186.27308407386798,174.79559202807746,174.79559202807746,-0.13281107589595886,-0.13281107589595886,-0.13281107589595886,-0.13281107589595886,-0.13281107589595886,-0.13281107589595886,0.0,0.0,0.0,174.6627809521815
5,2021-06-28,174.6494081006706,164.42200746905908,186.13396144505364,174.6494081006706,174.6494081006706,0.3860051003178901,0.3860051003178901,0.3860051003178901,0.3860051003178901,0.3860051003178901,0.3860051003178901,0.0,0.0,0.0,175.0354132009885
6,2021-06-29,174.60068012486832,163.50223497526878,186.6475373906338,174.60068012486832,174.60068012486832,0.9121953137273556,0.9121953137273556,0.9121953137273556,0.9121953137273556,0.9121953137273556,0.9121953137273556,0.0,0.0,0.0,175.51287543859567
7,2021-06-30,174.55195214906604,164.45027499298277,186.3451394143073,174.55195214906604,174.55195214906604,0.9028127818874279,0.9028127818874279,0.9028127818874279,0.9028127818874279,0.9028127818874279,0.9028127818874279,0.0,0.0,0.0,175.45476493095347
8,2021-07-01,174.50322417326373,164.25362775673725,186.6612681340919,174.50322417326373,174.50322417326373,0.5488971763029675,0.5488971763029675,0.5488971763029675,0.5488971763029675,0.5488971763029675,0.5488971763029675,0.0,0.0,0.0,175.0521213495667
9,2021-07-02,174.4544961956439,163.00040989430428,184.616974629523,174.4544961956439,174.4544961956439,-0.1328110758970429,-0.1328110758970429,-0.1328110758970429,-0.1328110758970429,-0.1328110758970429,-0.1328110758970429,0.0,0.0,0.0,174.32168511974686
