,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2021-06-21,593.855829755856,486.15246735485033,710.2421545754493,593.855829755856,593.855829755856,1.8089560455242346,1.8089560455242346,1.8089560455242346,1.8089560455242346,1.8089560455242346,1.8089560455242346,0.0,0.0,0.0,595.6647858013803
1,2021-06-22,596.4078933135803,481.1739436935964,704.3677370961916,596.4078933135803,596.4078933135803,-3.6177922643900953,-3.6177922643900953,-3.6177922643900953,-3.6177922643900953,-3.6177922643900953,-3.6177922643900953,0.0,0.0,0.0,592.7901010491902
2,2021-06-23,598.9599568713046,486.5345288559261,711.1770191870226,598.9599568713046,598.9599568713046,-0.7337970417122599,-0.7337970417122599,-0.7337970417122599,-0.7337970417122599,-0.7337970417122599,-0.7337970417122599,0.0,0.0,0.0,598.2261598295923
3,2021-06-24,601.5120204290289,480.476233643147,706.3176504000329,601.5120204290289,601.5120204290289,-8.669034871692352,-8.669034871692352,-8.669034871692352,-8.669034871692352,-8.669034871692352,-8.669034871692352,0.0,0.0,0.0,592.8429855573365
4,2021-06-25,604.0640839867531,477.02207712312287,702.527649234035,604.0640839867531,604.0640839867531,-14.203283682443837,-14.203283682443837,-14.203283682443837,-14.203283682443837,-14.203283682443837,-14.203283682443837,0.0,0.0,0.0,589.8608003043092
5,2021-06-28,611.720274659926,500.8810249039134,725.7868037677966,611.720274659926,611.720274659926,1.808956045582879,1.808956045582879,1.808956045582879,1.808956045582879,1.808956045582879,1.808956045582879,0.0,0.0,0.0,613.5292307055089
6,2021-06-29,614.2723382176503,499.46902815774206,724.1556487438871,614.2723382176503,614.2723382176503,-3.6177922643589815,-3.6177922643589815,-3.6177922643589815,-3.6177922643589815,-3.6177922643589815,-3.6177922643589815,0.0,0.0,0.0,610.6545459532913
7,2021-06-30,616.8244017753744,494.7390600048021,731.0422868779241,616.8244017753744,616.8244017753744,-0.7337970416986048,-0.7337970416986048,-0.7337970416986048,-0.7337970416986048,-0.7337970416986048,-0.7337970416986048,0.0,0.0,0.0,616.0906047336758
8,2021-07-01,619.3764653330987,499.32523845630794,725.1335246185461,619.3764653330987,619.3764653330987,-8.66903487169751,-8.66903487169751,-8.66903487169751,-8.66903487169751,-8.66903487169751,-8.66903487169751,0.0,0.0,0.0,610.7074304614013
9,2021-07-02,621.9285288927459,496.47387001802923,720.3954762459035,621.9285288927459,621.9285288927459,-14.203283682435622,-14.203283682435622,-14.203283682435622,-14.203283682435622,-14.203283682435622,-14.203283682435622,0.0,0.0,0.0,607.7252452103103
